	accuracy	precision	recall	f1
476	1.0	inf	inf	inf
477	1.0	inf	inf	inf
478	1.0	inf	inf	inf
479	1.0	inf	inf	inf
480	1.0	inf	inf	inf
481	0.875	inf	0.0	inf
482	1.0	inf	inf	inf
483	1.0	inf	inf	inf
484	1.0	inf	inf	inf
485	1.0	inf	inf	inf
486	1.0	inf	inf	inf
487	1.0	inf	inf	inf
488	1.0	inf	inf	inf
489	1.0	inf	inf	inf
490	1.0	inf	inf	inf
491	0.875	inf	0.0	inf
492	1.0	inf	inf	inf
493	1.0	inf	inf	inf
494	0.875	inf	0.0	inf
495	0.875	inf	0.0	inf
496	0.875	inf	0.0	inf
497	1.0	inf	inf	inf
498	1.0	inf	inf	inf
499	1.0	inf	inf	inf
500	1.0	inf	inf	inf
501	1.0	inf	inf	inf
502	0.75	inf	0.0	inf
503	1.0	inf	inf	inf
504	1.0	inf	inf	inf
505	1.0	inf	inf	inf
506	1.0	inf	inf	inf
507	1.0	inf	inf	inf
508	1.0	inf	inf	inf
509	1.0	inf	inf	inf
510	1.0	inf	inf	inf
511	1.0	inf	inf	inf
512	1.0	inf	inf	inf
513	1.0	inf	inf	inf
514	0.875	inf	0.0	inf
515	0.875	inf	0.0	inf
516	0.875	inf	0.0	inf
517	1.0	inf	inf	inf
518	0.75	inf	0.0	inf
519	1.0	inf	inf	inf
520	1.0	inf	inf	inf
521	0.875	inf	0.0	inf
522	0.75	inf	0.0	inf
523	1.0	inf	inf	inf
524	1.0	inf	inf	inf
525	1.0	inf	inf	inf
526	1.0	inf	inf	inf
527	0.875	inf	0.0	inf
528	1.0	inf	inf	inf
529	1.0	inf	inf	inf
530	0.75	inf	0.0	inf
531	1.0	inf	inf	inf
532	1.0	inf	inf	inf
533	0.875	inf	0.0	inf
534	1.0	inf	inf	inf
535	1.0	inf	inf	inf
536	1.0	inf	inf	inf
537	0.875	inf	0.0	inf
538	0.875	inf	0.0	inf
539	0.875	inf	0.0	inf
540	1.0	inf	inf	inf
541	1.0	inf	inf	inf
542	0.875	inf	0.0	inf
543	0.875	inf	0.0	inf
544	1.0	inf	inf	inf
545	1.0	inf	inf	inf
546	1.0	inf	inf	inf
547	0.875	inf	0.0	inf
548	1.0	inf	inf	inf
549	0.875	inf	0.0	inf
550	1.0	inf	inf	inf
551	0.875	inf	0.0	inf
552	1.0	inf	inf	inf
553	1.0	inf	inf	inf
554	1.0	inf	inf	inf
555	0.875	inf	0.0	inf
556	1.0	inf	inf	inf
557	1.0	inf	inf	inf
558	1.0	inf	inf	inf
559	1.0	inf	inf	inf
560	0.875	inf	0.0	inf
561	1.0	inf	inf	inf
562	1.0	inf	inf	inf
563	1.0	inf	inf	inf
564	0.875	inf	0.0	inf
565	0.75	inf	0.0	inf
566	1.0	inf	inf	inf
567	1.0	inf	inf	inf
568	1.0	inf	inf	inf
569	1.0	inf	inf	inf
570	0.875	inf	0.0	inf
571	1.0	inf	inf	inf
572	0.875	inf	0.0	inf
573	0.875	inf	0.0	inf
574	1.0	inf	inf	inf
575	1.0	inf	inf	inf
576	1.0	inf	inf	inf
577	1.0	inf	inf	inf
578	1.0	inf	inf	inf
579	1.0	inf	inf	inf
580	1.0	inf	inf	inf
581	0.875	inf	0.0	inf
582	0.875	inf	0.0	inf
583	1.0	inf	inf	inf
584	1.0	inf	inf	inf
585	0.875	inf	0.0	inf
586	1.0	inf	inf	inf
587	0.875	inf	0.0	inf
588	0.875	inf	0.0	inf
589	0.75	inf	0.0	inf
590	1.0	inf	inf	inf
591	1.0	inf	inf	inf
592	0.875	inf	0.0	inf
593	0.75	inf	0.0	inf
594	1.0	inf	inf	inf
595	1.0	inf	inf	inf
596	0.875	inf	0.0	inf
597	0.875	inf	0.0	inf
598	1.0	inf	inf	inf
599	1.0	inf	inf	inf
600	1.0	inf	inf	inf
601	1.0	inf	inf	inf
602	0.875	inf	0.0	inf
603	1.0	inf	inf	inf
604	1.0	inf	inf	inf
605	1.0	inf	inf	inf
606	1.0	inf	inf	inf
607	1.0	inf	inf	inf
608	1.0	inf	inf	inf
609	1.0	inf	inf	inf
610	1.0	inf	inf	inf
611	0.75	inf	0.0	inf
612	1.0	inf	inf	inf
613	1.0	inf	inf	inf
614	1.0	inf	inf	inf
615	1.0	inf	inf	inf
616	1.0	inf	inf	inf
617	1.0	inf	inf	inf
618	1.0	inf	inf	inf
619	0.875	inf	0.0	inf
620	1.0	inf	inf	inf
621	1.0	inf	inf	inf
622	1.0	inf	inf	inf
623	1.0	inf	inf	inf
624	1.0	inf	inf	inf
625	1.0	inf	inf	inf
626	1.0	inf	inf	inf
627	0.875	inf	0.0	inf
628	0.875	inf	0.0	inf
629	0.875	inf	0.0	inf
630	1.0	inf	inf	inf
631	1.0	inf	inf	inf
632	1.0	inf	inf	inf
633	1.0	inf	inf	inf
634	1.0	inf	inf	inf
635	0.875	inf	0.0	inf
636	0.875	inf	0.0	inf
637	0.875	inf	0.0	inf
638	0.875	inf	0.0	inf
639	1.0	inf	inf	inf
640	1.0	inf	inf	inf
641	1.0	inf	inf	inf
642	1.0	inf	inf	inf
643	1.0	inf	inf	inf
644	1.0	inf	inf	inf
645	1.0	inf	inf	inf
646	1.0	inf	inf	inf
647	0.875	inf	0.0	inf
648	0.875	inf	0.0	inf
649	1.0	inf	inf	inf
650	1.0	inf	inf	inf
651	1.0	inf	inf	inf
652	1.0	inf	inf	inf
653	1.0	inf	inf	inf
654	0.875	inf	0.0	inf
655	1.0	inf	inf	inf
656	0.875	inf	0.0	inf
657	1.0	inf	inf	inf
658	0.875	inf	0.0	inf
659	1.0	inf	inf	inf
660	0.875	inf	0.0	inf
661	0.75	inf	0.0	inf
662	1.0	inf	inf	inf
663	1.0	inf	inf	inf
664	1.0	inf	inf	inf
665	1.0	inf	inf	inf
666	0.875	inf	0.0	inf
667	1.0	inf	inf	inf
668	1.0	inf	inf	inf
669	0.875	inf	0.0	inf
670	1.0	inf	inf	inf
671	1.0	inf	inf	inf
672	1.0	inf	inf	inf
673	1.0	inf	inf	inf
674	1.0	inf	inf	inf
675	1.0	inf	inf	inf
676	1.0	inf	inf	inf
